customer_id,customer_name,segment,country,state
1,Toby Braunhardt,Consumer,Algeria,Constantine
2,Joseph Holt,Consumer,Australia,New South Wales
3,Annie Thurman,Consumer,Hungary,Budapest
4,Eugene Moren,Home Office,Sweden,Stockholm
5,Magdelene Morse,Consumer,Canada,Ontario
6,Kean Nguyen,Corporate,Australia,New South Wales
7,Ken Lonsdale,Consumer,New Zealand,Auckland
8,Lindsay Williams,Corporate,Iraq,Ninawa
9,Larry Blacks,Consumer,Philippines,National Capital
10,Dorothy Dickinson,Consumer,United Kingdom,England
11,Dennis Pardue,Home Office,Malaysia,Sarawak
12,Stewart Visinsky,Consumer,Guatemala,Guatemala
13,Jas O'Carroll,Consumer,Iran,Yazd
14,Chris McAfee,Consumer,Thailand,Nakhon Ratchasima
15,Nat Gilpin,Corporate,Iran,Razavi Khorasan
16,Jack Garza,Consumer,Tanzania,Dar Es Salaam
17,Russell Applegate,Consumer,Brazil,Parana
18,Maya Herman,Corporate,Mexico,Yucatán
19,Beth Thompson,Home Office,Cuba,Granma
20,Arthur Prichep,Consumer,France,Rhône-Alpes
21,Arthur Wiediger,Home Office,Cuba,Santiago de Cuba
22,Grant Thornton,Corporate,United Kingdom,England
23,Darren Powers,Consumer,United States,Texas
24,Bradley Drucker,Consumer,Japan,Tottori
25,Jasper Cacioppo,Consumer,Sudan,Khartoum
26,Jennifer Halladay,Consumer,Mexico,Veracruz
27,Michael Granlund,Home Office,France,Rhône-Alpes
28,Phillina Ober,Home Office,United States,Illinois
29,Shaun Weien,Consumer,Taiwan,Taipei City
30,Shahid Hopkins,Consumer,France,Ile-de-France
31,Brosina Hoffman,Consumer,Indonesia,Sumatera Barat
32,Robert Dilbeck,Home Office,Vietnam,Ho Chí Minh City
33,Grace Kelly,Corporate,Angola,Luanda
34,Khloe Miller,Consumer,China,Jilin
35,Mick Brown,Consumer,United States,Pennsylvania
36,Maria Etezadi,Home Office,United States,Kentucky
37,Maribeth Schnelling,Consumer,Philippines,National Capital
38,Dave Poirier,Corporate,France,Provence-Alpes-Côte d'Azur
39,Harry Marie,Corporate,Lebanon,Beirut
40,Lycoris Saunders,Consumer,United States,California
41,Alyssa Crouse,Corporate,Algeria,Alger
42,Jack O'Briant,Corporate,United States,Georgia
43,Adam Bellavance,Home Office,Singapore,Singapore
44,Joy Smith,Consumer,Netherlands,Groningen
45,Henia Zydlo,Consumer,Angola,Benguela
46,Nicole Fjeld,Home Office,China,Yunnan
47,Christopher Martinez,Consumer,Guatemala,Guatemala
48,Vivek Sundaresam,Consumer,United States,Texas
49,Joe Elijah,Consumer,Nigeria,Lagos
50,Ed Braxton,Corporate,Indonesia,Jawa Timur
51,Alejandro Grove,Consumer,Vietnam,Kiên Giang
52,Sample Company A,Home Office,Philippines,Calabarzon
53,Dan Lawera,Consumer,Australia,Queensland
